date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:33	51279/51279	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69d1-c84f%22	http://templates.scriptsbundle.com/whitehat/	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/index.html	(from )
15:05:33	363/363	---MCZ	200	added ('OK')	text/plain	etag:W/%2257a86c51-4c6%22	http://templates.scriptsbundle.com/robots.txt		(from )
15:05:33	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22586267fe-47e%22	http://templates.scriptsbundle.com/whitehat/images/favicon.ico	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/images/favicon.ico	(from http://templates.scriptsbundle.com/whitehat/)
15:05:34	146010/146010	---MCZ	200	added ('OK')	text/css	etag:W/%22583ece1c-23a5a%22	http://templates.scriptsbundle.com/whitehat/css/bootstrap.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/css/bootstrap.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:34	15210/15210	---MCZ	200	added ('OK')	text/css	etag:W/%22583ece21-3b6a%22	http://templates.scriptsbundle.com/whitehat/css/select2.min.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/css/select2.min.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:35	51924/51924	---MCZ	200	added ('OK')	text/css	etag:W/%2258626733-cad4%22	http://templates.scriptsbundle.com/whitehat/css/megamenu.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/css/megamenu.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:35	46575/46575	---MCZ	200	added ('OK')	text/css	etag:W/%22583ece17-b5ef%22	http://templates.scriptsbundle.com/whitehat/css/animate.min.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/css/animate.min.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:35	1190/1190	---MCZ	200	added ('OK')	text/css	etag:W/%22583ece1d-4a6%22	http://templates.scriptsbundle.com/whitehat/css/owl.carousel.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/css/owl.carousel.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:35	1123/1123	---MCZ	200	added ('OK')	text/css	etag:W/%22583ece1f-463%22	http://templates.scriptsbundle.com/whitehat/css/owl.style.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/css/owl.style.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:36	7806/7806	---MCZ	200	added ('OK')	text/css	etag:W/%2258620779-1e7e%22	http://templates.scriptsbundle.com/whitehat/css/magnific-popup.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/css/magnific-popup.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:36	73958/73958	---MCZ	200	added ('OK')	text/css	etag:W/%22587c69e8-120e6%22	http://templates.scriptsbundle.com/whitehat/css/style.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/css/style.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:36	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%22583ece1b-6b4a%22	http://templates.scriptsbundle.com/whitehat/css/font-awesome.min.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/css/font-awesome.min.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:37	16450/16450	---MCZ	200	added ('OK')	text/css	etag:W/%22583ece24-4042%22	http://templates.scriptsbundle.com/whitehat/css/themify-icons.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/css/themify-icons.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:37	4928/4928	---MCZ	200	added ('OK')	text/css	etag:W/%22583ecfc9-1340%22	http://templates.scriptsbundle.com/whitehat/fonts/seo-and-marketing/flaticon.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/fonts/seo-and-marketing/flaticon.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:37	17136/17136	---MCZ	200	added ('OK')	text/css	etag:W/%22583ecfda-42f0%22	http://templates.scriptsbundle.com/whitehat/fonts/seo-icons/flaticon.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/fonts/seo-icons/flaticon.css	(from http://templates.scriptsbundle.com/whitehat/)
15:05:38	17974/17974	---MCZ	200	added ('OK')	text/css	etag:W/%22583ecfbf-4636%22	http://templates.scriptsbundle.com/whitehat/masterslider/css/masterslider.css	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/masterslider/css/masterslider.css	(from http://templates.scriptsbundle.com/whitehat/)
